,weekday,hour,region,count,total_amount_sum,duration_min,duration_sum,duration_max
105,0,15,1,875,8291.25,1,506430,86098
106,0,15,2,1592,14990.890000000005,1,578109,86200
107,0,15,3,8067,78017.45000000007,0,3281507,86304
108,0,15,4,4252,30642.74999999996,1,1319012,86264
109,0,15,5,10078,70518.14000000001,1,3424748,86351
110,0,15,6,829,6057.080000000001,3,341359,86080
111,0,15,7,60,1067.1599999999999,2,14436,636
112,0,16,1,857,11550.430000000004,2,551283,86164
113,0,16,2,1476,17951.190000000002,2,445943,86184
114,0,16,3,8160,93685.43000000015,1,3739015,86314
115,0,16,4,3998,33538.44999999995,2,1837269,86304
116,0,16,5,8894,71706.51000000004,1,2915481,86192
117,0,16,6,834,7083.730000000002,1,373871,85732
118,0,16,7,52,1077.2399999999998,3,22173,4206
119,0,17,1,1088,12405.920000000002,2,521582,86335
120,0,17,2,1876,17980.339999999993,1,823477,86322
121,0,17,3,9073,87550.23000000013,1,3567432,86352
122,0,17,4,4462,35136.70999999995,2,1577261,86242
123,0,17,5,9080,69698.44000000002,2,2981269,86271
124,0,17,6,1026,8824.410000000003,2,530698,86203
125,0,17,7,85,977.8699999999999,3,26105,1409
126,0,18,1,1088,11311.140000000005,2,288950,3779
127,0,18,2,2282,21152.069999999992,2,991136,86301
128,0,18,3,9903,93281.44000000016,1,3684778,86372
129,0,18,4,4560,35173.96999999996,1,1644332,86306
130,0,18,5,9398,71942.30000000002,1,3158566,86348
131,0,18,6,938,7267.290000000003,1,727021,86222
132,0,18,7,74,709.94,2,108972,86137
133,0,19,1,988,9352.03,1,311834,20475
134,0,19,2,2318,21006.849999999995,0,827400,86293
135,0,19,3,8524,75832.48000000001,1,3231950,86160
136,0,19,4,3862,29773.899999999965,2,1701693,86361
137,0,19,5,7606,57612.8599999999,1,2166967,86314
138,0,19,6,785,6298.310000000002,3,177765,2145
139,0,19,7,74,890.12,2,18298,784
140,0,20,1,702,6944.120000000001,3,274507,85175
141,0,20,2,1982,17643.379999999997,0,568421,86149
142,0,20,3,7040,62210.10999999993,1,2585816,86356
143,0,20,4,2834,20997.939999999988,2,725919,86346
144,0,20,5,5464,38947.039999999935,1,1926960,86351
145,0,20,6,706,5554.540000000002,3,163145,1629
146,0,20,7,69,646.2800000000002,3,21714,1859
147,0,21,1,686,8837.050000000001,2,174231,4870
148,0,21,2,1775,17549.880000000005,0,516513,86168
149,0,21,3,6601,74431.52000000003,1,2542549,86355
150,0,21,4,2244,19386.949999999997,2,779682,86257
151,0,21,5,4221,32165.089999999956,2,1196574,85741
152,0,21,6,624,5226.2300000000005,3,223363,85405
153,0,21,7,85,1147.9299999999996,3,20293,2070
154,0,22,1,543,6808.0,2,142390,5761
155,0,22,2,1689,17729.389999999996,0,515731,85578
156,0,22,3,5690,60736.76999999996,1,1877526,86329
157,0,22,4,1569,13520.050000000003,2,530694,86278
158,0,22,5,2683,22876.279999999988,1,759567,86287
159,0,22,6,633,5646.970000000001,2,309281,85734
160,0,22,7,124,1465.5799999999997,3,29848,1717
161,0,23,1,418,6934.509999999999,2,418272,85016
162,0,23,2,1323,16323.340000000002,1,647871,86237
163,0,23,3,4134,44270.31999999994,1,1385100,86129
164,0,23,4,945,9786.190000000002,2,286255,86154
165,0,23,5,1518,15552.630000000003,0,486772,85414
166,0,23,6,584,4946.400000000002,2,121823,2252
167,0,23,7,81,899.18,3,20073,1866
168,1,0,1,237,5860.749999999999,2,225106,86277
169,1,0,2,942,10514.0,0,383735,85973
170,1,0,3,2776,31918.149999999983,0,878326,86376
171,1,0,4,545,6687.540000000002,2,373673,85925
172,1,0,5,801,8613.58,1,251818,85787
173,1,0,6,459,3762.179999999999,0,177686,85831
174,1,0,7,66,1354.7599999999995,3,12201,1349
175,1,1,1,144,2746.95,0,32570,2749
176,1,1,2,753,8034.330000000002,1,167054,3870
177,1,1,3,1679,19008.199999999997,1,816843,86347
178,1,1,4,208,2510.21,2,54449,2694
179,1,1,5,443,4560.5599999999995,2,81043,1520
180,1,1,6,355,3386.1399999999994,2,78282,2780
181,1,1,7,48,944.54,3,9780,1192
182,1,2,1,52,798.3799999999999,5,13744,3052
183,1,2,2,524,5424.610000000002,2,265834,77988
184,1,2,3,1230,11550.25,2,428183,86252
185,1,2,4,156,1711.2899999999997,1,30921,2308
186,1,2,5,278,3166.9599999999996,2,52598,2285
187,1,2,6,210,1819.0600000000002,3,40912,1394
188,1,2,7,37,561.96,3,8376,710
189,1,3,1,51,604.46,2,10322,1034
190,1,3,2,353,2371.3799999999997,2,139868,72744
191,1,3,3,941,8851.570000000002,1,396419,86121
192,1,3,4,122,1135.57,3,29234,2542
193,1,3,5,243,1852.3099999999997,3,49039,1691
194,1,3,6,127,1247.0000000000002,3,25052,1525
195,1,3,7,16,194.48000000000002,1,3033,940
196,1,4,1,74,672.19,2,12115,1465
197,1,4,2,274,2405.4699999999993,2,129787,69760
198,1,4,3,851,6752.6,2,278779,83351
199,1,4,4,98,570.2800000000001,5,103948,85584
200,1,4,5,262,1848.5399999999997,1,58947,7983
201,1,4,6,156,1119.7100000000003,4,30775,1663
202,1,4,7,20,135.54999999999998,4,2813,483
203,1,5,1,169,1414.7499999999998,2,29243,1183
204,1,5,2,230,1787.07,3,120184,85159
205,1,5,3,1408,12114.590000000002,2,407028,65431
206,1,5,4,326,2541.6399999999994,2,140374,83189
207,1,5,5,895,6192.760000000002,2,478634,83194
208,1,5,6,169,1282.8700000000001,3,29281,1029
209,1,5,7,29,283.8500000000001,11,266616,65744
210,1,6,1,448,4450.510000000001,2,273946,86230
211,1,6,2,419,4741.680000000001,3,70598,2391
212,1,6,3,4108,31988.489999999958,0,1335918,85385
213,1,6,4,786,6318.450000000002,2,250226,83134
214,1,6,5,2524,16427.329999999998,2,732208,86239
215,1,6,6,422,2907.49,3,183822,86357
216,1,6,7,53,519.6,5,13375,1413
217,1,7,1,998,9456.120000000003,4,371484,3941
218,1,7,2,976,8624.230000000003,2,325690,83251
219,1,7,3,7697,59485.569999999934,1,3399933,86247
220,1,7,4,1885,15223.37,1,1128528,86259
221,1,7,5,6929,51069.11999999993,0,3111638,86311
222,1,7,6,1421,10822.900000000005,0,686543,86337
223,1,7,7,131,1015.6600000000001,4,43356,3186
224,1,8,1,1640,13492.020000000002,1,907486,86041
225,1,8,2,1552,12939.960000000001,1,715252,86348
226,1,8,3,10115,83306.67000000006,0,4192573,86252
227,1,8,4,3066,22444.379999999986,1,1556430,86107
228,1,8,5,9905,69784.75999999997,2,4192375,86212
229,1,8,6,1558,11549.030000000008,2,685792,86332
230,1,8,7,152,1234.8699999999997,3,46545,1798
231,1,9,1,1587,13422.320000000005,1,746980,83768
232,1,9,2,1737,14128.120000000012,2,751139,86252
233,1,9,3,10745,89908.09000000014,0,4860993,86184
234,1,9,4,2748,19321.519999999993,1,975345,86327
235,1,9,5,8580,57875.969999999885,2,2795858,86195
236,1,9,6,896,6573.920000000001,3,286776,53571
237,1,9,7,96,744.88,5,35075,3214
238,1,10,1,1240,11262.720000000005,2,578700,86203
239,1,10,2,1548,12547.430000000002,1,723772,85157
240,1,10,3,8999,78993.55000000005,0,4107331,86194
241,1,10,4,3143,21337.009999999995,1,840322,9000
242,1,10,5,8249,56287.85999999989,1,3052507,86341
243,1,10,6,640,4391.32,3,249970,86067
244,1,10,7,66,721.8199999999999,3,18422,1536
245,1,11,1,1060,9831.110000000004,1,665387,84713
246,1,11,2,1574,12631.240000000009,1,727090,86289
247,1,11,3,8969,80227.99000000005,0,4806350,86358
248,1,11,4,3248,22574.39999999999,1,1087928,84516
249,1,11,5,9382,65911.12999999992,1,4214011,86318
250,1,11,6,697,4863.080000000001,1,177621,2585
251,1,11,7,96,1420.9599999999998,3,37304,2460
252,1,12,1,1106,9686.340000000002,2,656034,85790
253,1,12,2,1699,15327.750000000004,1,578130,84378
254,1,12,3,10184,91465.73000000017,1,5475171,86336
255,1,12,4,3994,27180.98999999997,1,1585999,86329
256,1,12,5,10174,70997.81999999999,0,3808780,86371
257,1,12,6,796,5353.150000000001,2,205655,2960
258,1,12,7,78,793.5,6,36855,2666
259,1,13,1,1042,10437.12,0,526740,85469
260,1,13,2,1571,13300.590000000004,2,443014,4808
261,1,13,3,9462,85360.21000000012,0,4549659,86318
262,1,13,4,3823,26168.979999999974,2,1638262,86311
263,1,13,5,9575,66406.15999999992,1,3406372,86086
264,1,13,6,799,5737.910000000003,3,246652,37647
