VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,02/08/2018 06:59:46 AM,02/08/2018 07:50:15 AM,1,15.3,2,N,10,262,1,52,0,0.5,8.5,5.76,0.3,67.06
1,02/08/2018 06:32:04 AM,02/08/2018 06:44:04 AM,0,3.4,1,N,75,170,2,12.5,0,0.5,0,0,0.3,13.3
1,02/08/2018 06:46:36 AM,02/08/2018 06:50:44 AM,0,0.8,1,N,137,162,1,5,0,0.5,1.15,0,0.3,6.95
1,02/08/2018 06:37:24 AM,02/08/2018 06:56:26 AM,1,7,1,N,162,231,1,22,0,0.5,4.55,0,0.3,27.35
1,02/08/2018 06:54:25 AM,02/08/2018 07:04:12 AM,1,2,1,N,113,246,1,9,0,0.5,1,0,0.3,10.8
2,02/08/2018 06:01:04 AM,02/08/2018 06:08:42 AM,2,2.2,1,N,262,162,1,8.5,0,0.5,1.86,0,0.3,11.16
2,02/08/2018 06:09:54 AM,02/08/2018 06:14:37 AM,2,1.46,1,N,162,137,1,6.5,0,0.5,1.46,0,0.3,8.76
2,02/08/2018 06:18:57 AM,02/08/2018 06:28:37 AM,2,1.75,1,N,233,90,1,9,0,0.5,1.96,0,0.3,11.76
2,02/08/2018 06:35:10 AM,02/08/2018 06:42:48 AM,2,1.4,1,N,186,163,2,7.5,0,0.5,0,0,0.3,8.3
2,02/08/2018 06:48:33 AM,02/08/2018 06:56:09 AM,2,1.18,1,N,163,229,2,7,0,0.5,0,0,0.3,7.8
2,02/08/2018 06:35:28 AM,02/08/2018 06:49:14 AM,5,6.2,1,N,13,162,1,19.5,0,0.5,1.5,0,0.3,21.8
2,02/08/2018 06:53:33 AM,02/08/2018 06:58:12 AM,5,0.92,1,N,170,230,1,5.5,0,0.5,1.58,0,0.3,7.88
1,02/08/2018 06:31:17 AM,02/08/2018 06:37:59 AM,1,2.3,1,N,33,231,1,8.5,0,0.5,1.85,0,0.3,11.15
1,02/08/2018 06:40:45 AM,02/08/2018 06:56:08 AM,1,6.2,1,N,87,170,1,20,0,0.5,4.15,0,0.3,24.95
